Drug,Drug
0,1
0,6
0,8
0,9
0,15
0,16
0,26
0,29
0,31
0,32
0,35
0,41
0,42
0,53
0,55
0,56
0,65
0,66
0,67
0,68
0,90
0,91
0,92
0,102
0,103
0,107
0,108
0,110
0,111
0,113
0,114
0,117
0,121
0,130
0,134
0,147
0,160
0,177
0,180
0,186
0,193
0,194
0,200
0,201
0,204
0,205
0,207
0,208
0,216
0,217
0,225
0,233
0,234
0,235
0,245
0,248
0,252
0,253
0,256
0,264
0,265
0,266
1,6
1,8
1,9
1,16
1,26
1,29
1,31
1,32
1,35
1,41
1,42
1,53
1,54
1,55
1,56
1,65
1,68
1,84
1,85
1,91
1,102
1,103
1,107
1,114
1,116
1,117
1,130
1,147
1,155
1,177
1,186
1,193
1,194
1,200
1,201
1,203
1,204
1,207
1,208
1,217
1,225
1,228
1,232
1,233
1,234
1,235
1,245
1,248
1,255
1,256
1,264
1,266
2,1
2,6
2,8
2,9
2,15
2,26
2,29
2,31
2,32
2,35
2,41
2,42
2,53
2,55
2,56
2,65
2,90
2,91
2,92
2,102
2,107
2,108
2,110
2,111
2,113
2,114
2,116
2,117
2,121
2,130
2,134
2,155
2,160
2,177
2,180
2,186
2,193
2,194
2,200
2,201
2,203
2,204
2,205
2,207
2,208
2,216
2,217
2,222
2,225
2,228
2,233
2,234
2,235
2,245
2,248
2,252
2,253
2,256
2,264
2,265
2,266
3,6
3,15
3,26
3,31
3,32
3,53
3,55
3,56
3,90
3,92
3,110
3,121
3,130
3,134
3,160
3,177
3,180
3,193
3,194
3,200
3,201
3,205
3,216
3,217
3,235
3,248
3,252
3,264
3,265
4,1
4,8
4,9
4,15
4,16
4,26
4,29
4,31
4,32
4,35
4,41
4,42
4,54
4,55
4,56
4,65
4,68
4,84
4,85
4,90
4,91
4,102
4,108
4,110
4,111
4,113
4,114
4,116
4,117
4,121
4,130
4,147
4,155
4,160
4,177
4,180
4,186
4,193
4,194
4,200
4,201
4,203
4,204
4,207
4,208
4,225
4,228
4,232
4,233
4,234
4,235
4,245
4,248
4,252
4,255
4,264
4,265
4,266
5,6
5,8
5,9
5,15
5,26
5,29
5,31
5,35
5,41
5,42
5,53
5,55
5,56
5,65
5,66
5,67
5,90
5,91
5,92
5,103
5,107
5,108
5,110
5,111
5,113
5,114
5,116
5,117
5,121
5,130
5,134
5,147
5,160
5,177
5,180
5,186
5,193
5,194
5,200
5,201
5,205
5,207
5,208
5,216
5,217
5,228
5,234
5,235
5,245
5,252
5,253
5,256
5,264
5,265
5,266
6,1
6,8
6,9
6,15
6,16
6,26
6,29
6,31
6,32
6,35
6,41
6,42
6,53
6,55
6,56
6,65
6,66
6,67
6,85
6,90
6,91
6,92
6,102
6,103
6,107
6,108
6,110
6,113
6,114
6,117
6,121
6,130
6,134
