drug,protein
0,17
0,30
0,34
0,38
0,39
0,97
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,488
1,30
1,34
1,237
2,17
2,29
2,30
2,31
2,32
2,33
2,34
2,37
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,72
2,78
2,87
2,122
2,211
2,330
2,555
2,592
2,744
2,829
3,10
3,248
3,249
3,265
4,23
4,31
4,37
4,354
5,3
5,4
5,17
5,45
5,48
5,51
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
5,84
5,87
5,92
5,93
5,95
5,115
5,116
5,118
5,120
5,122
5,123
5,133
5,145
5,146
5,147
5,151
5,152
5,153
5,154
5,155
5,156
5,157
5,158
5,159
5,160
5,161
5,162
5,163
5,164
5,165
5,166
5,214
5,445
5,938
6,16
6,17
6,26
6,27
6,28
6,29
6,30
6,34
6,35
6,36
6,41
6,42
6,44
6,45
6,133
6,134
6,140
6,258
7,248
7,249
7,265
7,268
8,3
8,4
8,14
8,17
8,31
8,34
8,35
8,37
8,38
8,39
8,268
8,287
9,17
9,66
9,88
9,90
9,91
9,213
9,215
9,216
9,217
9,218
10,14
10,15
10,26
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,62
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
11,14
11,15
11,27
11,33
11,34
11,52
11,64
11,87
12,14
12,23
12,31
12,32
12,34
12,37
12,38
12,124
12,222
13,14
13,15
13,17
13,21
13,23
13,27
13,34
13,35
13,72
13,75
13,76
13,77
13,78
13,268
13,270
13,271
14,13
14,14
14,15
14,16
14,21
14,27
14,30
14,33
14,34
14,35
14,37
14,38
14,39
14,72
14,73
14,78
14,86
14,249
15,14
15,34
15,37
15,87
15,124
15,125
15,190
16,17
16,21
16,23
16,24
16,27
16,34
16,35
16,36
16,83
16,94
16,178
16,217
16,319
16,334
16,912
17,17
17,30
17,31
17,34
17,35
17,36
17,37
17,38
17,44
17,48
17,49
17,50
17,51
17,74
17,84
17,87
17,110
17,111
17,112
17,114
17,130
17,131
17,133
17,134
17,140
17,142
17,143
17,145
17,146
17,147
17,148
17,149
17,150
17,151
17,152
17,153
